Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
C7,amp0,SYBR,28.37,9.21,5.11,4.63,1.56,6.74,1.53,-1.99,0.16,4.37,1.95,-3.8,3.79,-2.55,-5.06,-2.14,-5.3,-9.12,-2.85,-3.39,0.65,1.28,-0.55,4.88,16.04,33.74,58.56,115.64,205.84,374.25,625.79,1019.86,1517.7,1989.63,2387.28,2674.97,2853.76,2962.66,3025.31,3069.07,3103.3
C8,amp0,SYBR,28.61,2.71,2.16,3.43,4.3,-0.53,3.18,3.69,3.36,0.73,-3.26,1.85,-2.99,-3.24,1.38,-1.55,-4.47,-4.29,-5.25,0.22,-3.85,-1.25,0.3,5.75,14.9,27.41,52.54,102.07,191.3,327.89,557.42,911.77,1389.46,1851.21,2252.23,2544.92,2731.89,2841.37,2907.41,2950.43,2987.03
C9,amp0,SYBR,28.86,2.35,-1.4,0.98,2.88,5.07,1.99,5.97,2.41,-2.1,-3.72,-2.28,-3.92,-0.99,-3.5,1.03,-1.43,-3.71,-4.46,-1.41,0.39,0.39,4.38,0.24,10.75,22.89,50.24,89.68,163.45,286.31,496.64,821.23,1272.84,1721.63,2122.99,2424.18,2616.44,2733.02,2804.58,2852.5,2888.11
C10,amp0,SYBR,28.78,-0.62,4.69,6.33,-5.52,6.03,-1.84,-0.12,2.59,5.63,1.69,-4.55,-2.22,2.17,1.19,3.23,-3.46,-5.48,1.06,-2.26,-3.52,-0.58,1.25,4.0,8.67,23.89,48.25,87.53,167.75,304.61,513.72,848.64,1300.32,1740.54,2129.03,2416.02,2600.82,2709.37,2772.87,2815.5,2851.6
C11,amp0,SYBR,28.81,3.11,0.37,5.7,-3.73,5.23,-0.98,0.76,3.04,0.62,1.42,2.37,1.06,1.53,-3.09,-1.75,-3.1,-4.97,-3.99,-5.81,-2.54,-0.01,-1.29,8.4,12.02,22.72,48.92,96.59,174.41,297.5,507.47,834.59,1258.61,1663.9,2009.8,2260.52,2418.3,2512.47,2571.89,2609.23,2635.83
C12,amp0,SYBR,28.59,15.58,18.07,4.56,5.88,5.53,2.6,2.26,-1.93,-0.57,-6.29,-2.34,-1.37,-7.12,-1.83,5.49,-6.44,-0.9,-6.36,-1.09,0.47,-3.66,5.48,4.02,11.86,26.24,54.5,101.65,189.76,330.67,561.23,910.25,1350.65,1760.06,2097.37,2333.87,2480.34,2570.44,2621.06,2656.8,2685.09
D1,amp0,SYBR,36.47,-3.91,-0.11,11.5,6.74,5.03,-3.98,2.86,-2.93,-1.27,-3.38,0.87,-4.64,-2.0,-1.34,0.0,-0.57,-4.5,-0.75,-1.23,-5.1,-0.02,-1.25,-0.76,-2.97,-1.8,1.37,-2.16,-5.25,-0.87,-0.77,8.81,15.62,23.94,56.91,98.23,183.09,339.46,608.83,1010.02,1556.44
D2,amp0,SYBR,"",-1.94,-2.8,-0.59,0.89,0.44,2.6,-1.77,1.48,-0.85,2.65,1.37,1.6,0.31,-0.62,0.33,-3.97,0.51,0.48,0.73,-0.02,1.64,-3.1,-0.08,0.02,0.15,1.36,-0.58,0.25,-3.33,-1.28,2.47,5.35,0.29,13.82,15.24,36.21,67.88,124.87,220.37,381.52
D3,amp0,SYBR,"",-4.19,-1.51,-2.06,1.07,-0.21,-1.29,0.02,-0.78,-3.61,6.1,3.87,2.62,3.32,2.7,1.68,0.85,-1.55,-3.97,-1.82,0.23,-1.36,-2.38,-0.11,1.34,-6.98,2.76,3.31,0.03,-0.88,1.41,-1.56,1.36,3.2,6.29,12.82,24.77,42.52,75.58,138.41,240.99
D4,amp0,SYBR,"",1.48,2.91,2.7,-0.54,1.98,4.84,0.67,-2.0,2.37,2.32,0.37,0.61,0.52,0.46,4.25,-3.38,3.52,-2.11,0.95,2.93,-2.79,0.53,-2.17,-4.27,-4.94,-3.72,-7.42,-2.77,-5.23,-0.6,-1.78,-3.02,1.8,12.9,15.79,30.22,71.35,123.04,217.99,386.5
A5,amp0,SYBR,15.59,5.19,4.44,3.22,0.56,3.96,0.89,-0.52,-1.45,6.05,17.77,36.04,64.71,101.35,164.03,246.23,371.42,533.22,724.23,911.07,1080.24,1214.23,1306.03,1363.19,1395.96,1419.55,1448.11,1498.87,1569.62,1654.16,1754.62,1864.98,1976.4,2063.59,2123.7,2156.83,2170.66,2175.6,2177.39,2195.13,2226.12
D5,amp0,SYBR,"",0.21,-3.62,1.7,-2.12,1.28,-0.96,3.12,-1.71,0.22,0.06,-1.94,1.01,-1.1,1.8,2.37,1.38,0.42,-4.17,1.03,2.38,-0.32,1.47,1.03,1.73,1.75,-0.51,0.75,1.7,-1.99,-1.36,2.02,-1.36,-0.12,4.26,4.41,22.59,32.35,58.63,104.2,187.41
D6,amp0,SYBR,"",0.94,-6.52,-2.41,-5.03,-1.99,-0.94,-1.39,-0.68,1.2,4.39,3.67,0.28,-0.56,-0.33,1.34,6.33,0.7,-2.15,-0.91,2.01,3.49,3.41,-2.03,-1.18,3.66,3.44,5.04,-2.51,0.64,0.56,-0.84,2.84,-4.71,1.75,-5.4,1.08,-0.05,1.43,-3.64,-0.25
A6,amp0,SYBR,15.71,13.48,8.08,4.47,3.38,0.15,-0.95,-0.29,-2.24,8.36,20.15,34.75,55.54,96.64,150.94,240.2,359.8,510.24,686.53,867.63,1027.99,1155.42,1241.15,1293.86,1323.27,1347.99,1373.33,1412.56,1468.71,1550.45,1650.84,1761.28,1865.62,1950.29,2006.5,2038.61,2053.54,2060.4,2063.72,2079.92,2110.4
A7,amp0,SYBR,13.82,25.17,13.24,7.81,0.22,-0.63,0.77,-4.43,-6.18,-2.1,12.58,37.8,76.17,154.48,292.21,506.41,824.99,1211.28,1566.64,1859.06,2062.08,2188.96,2265.41,2315.72,2349.14,2371.41,2382.12,2392.18,2396.58,2403.18,2409.58,2426.9,2447.53,2470.12,2486.81,2502.94,2517.91,2529.72,2540.99,2549.02,2558.13
A8,amp0,SYBR,13.69,19.04,13.72,7.63,4.1,1.37,-2.23,-5.66,-4.27,0.44,13.15,39.5,81.33,165.86,306.18,538.13,883.08,1306.65,1698.92,2024.09,2250.18,2391.09,2472.29,2524.02,2558.08,2580.36,2593.97,2603.59,2613.05,2619.83,2626.28,2635.34,2655.36,2678.65,2704.24,2722.21,2740.81,2755.26,2772.49,2783.31,2791.14
A9,amp0,SYBR,13.98,18.24,5.63,5.42,0.39,1.02,-2.01,0.12,2.15,4.55,13.62,42.04,74.86,147.76,273.87,472.25,769.11,1148.04,1505.2,1801.56,2009.32,2135.86,2213.43,2261.65,2290.87,2308.71,2320.8,2331.16,2337.76,2340.54,2343.68,2349.58,2365.82,2383.27,2402.09,2413.93,2430.46,2444.09,2457.32,2468.04,2482.49
A10,amp0,SYBR,14.17,15.83,10.45,6.34,1.0,-1.23,-2.47,0.52,2.12,5.01,12.17,31.31,67.52,128.82,243.14,423.45,686.24,1028.66,1347.57,1614.78,1805.43,1925.15,1994.15,2035.78,2059.95,2074.55,2082.62,2089.77,2095.26,2099.66,2102.35,2104.4,2112.64,2123.18,2140.81,2154.08,2169.83,2181.56,2193.39,2201.55,2208.73
